comment_star,review_count,BusinessAcceptsCreditCards,BikeParking,RestaurantsReservations,HasTV,Alcohol,RestaurantsGoodForGroups,WiFi,garage,street,lot,valet,dinner,Total_hour,acceptable_noise,upscale_classy
1,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
4,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
4,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
5,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
5,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
5,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
5,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
1,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
4,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
5,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
1,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
2,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
3,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
2,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
5,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
4,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
1,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
5,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
2,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
5,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
1,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
2,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
1,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
5,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
5,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
5,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
2,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
1,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
3,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
5,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
5,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
5,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
3,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
2,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
1,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
1,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
5,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
4,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
5,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
4,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
1,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
1,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
5,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
1,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
5,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
1,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
4,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
3,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
5,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
2,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
5,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
5,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
4,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
3,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
5,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
1,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
5,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
2,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
3,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
5,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
4,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
2,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
4,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
3,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
4,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
1,167,1,1,1,1,1,1,0,0,1,1,0,1,35,1,0
5,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
5,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
5,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
3,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
5,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
1,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
3,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
5,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
5,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
3,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
4,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
3,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
4,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
5,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
5,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
3,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
3,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
4,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
1,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
2,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
2,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
5,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
5,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
3,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
4,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
1,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
4,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
1,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
4,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
2,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
3,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
5,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
4,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
3,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
5,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
5,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
1,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
5,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
5,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
2,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
2,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
3,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
5,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
1,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
5,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
3,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
5,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
1,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
1,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
5,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
4,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
2,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
3,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
5,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
2,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
5,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
3,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
3,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
3,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
5,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
1,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
1,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
3,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
1,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
2,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
5,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
2,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
5,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
4,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
5,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
5,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
5,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
1,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
2,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
4,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
4,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
3,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
5,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
3,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
2,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
5,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
3,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
2,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
1,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
1,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
4,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
1,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
1,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
4,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
3,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
2,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
2,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
5,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
2,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
4,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
5,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
3,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
3,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
5,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
1,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
5,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
2,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
1,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
1,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
1,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
5,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
5,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
5,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
2,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
5,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
1,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
2,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
5,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
3,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
5,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
1,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
5,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
1,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
4,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
1,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
1,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
5,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
3,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
1,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
1,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
3,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
5,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
5,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
5,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
5,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
3,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
4,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
4,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
1,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
5,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
5,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
5,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
1,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
5,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
4,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
4,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
5,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
2,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
5,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
2,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
4,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
2,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
4,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
4,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
5,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
4,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
5,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
4,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
1,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
2,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
5,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
1,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
4,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
3,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
4,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
5,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
5,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
3,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
1,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
2,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
4,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
4,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
2,163,1,1,0,0,0,1,1,0,0,1,0,1,54,1,0
4,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
1,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
2,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
2,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
5,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
4,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
2,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
4,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
1,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
3,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
5,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
4,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
5,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
4,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
1,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
5,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
5,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
4,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
2,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
3,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
4,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
5,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
4,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
3,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
4,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
1,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
4,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
5,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
3,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
5,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
4,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
3,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
4,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
2,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
5,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
3,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
4,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
1,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
5,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
1,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
4,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
5,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
4,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
4,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
5,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
5,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
3,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
4,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
4,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
5,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
4,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
5,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
4,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
3,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
5,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
5,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
1,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
1,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
1,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
1,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
2,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
5,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
5,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
2,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
1,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
4,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
1,155,1,1,0,0,0,1,0,1,1,1,0,1,70,1,0
