index,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories,hours,GoodForKids,BusinessAcceptsCreditCards,WheelchairAccessible,RestaurantsReservations,RestaurantsPriceRange2,OutdoorSeating,RestaurantsDelivery,Alcohol,HasTV,Caters,RestaurantsGoodForGroups,NoiseLevel,RestaurantsAttire,BikeParking,WiFi,RestaurantsTakeOut,BusinessAcceptsBitcoin,HappyHour,RestaurantsTableService,ByAppointmentOnly,BestNights,Music,GoodForDancing,DogsAllowed,CoatCheck,Smoking,DriveThru,AcceptsInsurance,Corkage,BYOB,BYOBCorkage,DietaryRestrictions,RestaurantsCounterService,Open24Hours,HairSpecializesIn,garage,street,validated,lot,valet,dessert,latenight,lunch,dinner,brunch,breakfast,touristy,hipster,romantic,divey,intimate,trendy,upscale,classy,casual
678,zjQDk4tZyhEroyqtkgvx0g,The Cobblestone Eatery and Drinkery,115 W St Louis St,Lebanon,IL,62254,38.6041071,-89.8085329,3.5,52,1,"American (Traditional), Nightlife, Breakfast & Brunch, Event Planning & Services, Venues & Event Spaces, Italian, Bars, Restaurants","{'Monday': '11:0-2:0', 'Tuesday': '11:0-2:0', 'Wednesday': '11:0-2:0', 'Thursday': '11:0-2:0', 'Friday': '11:0-2:0', 'Saturday': '11:0-2:0', 'Sunday': '11:0-2:0'}",True,True,True,False,2,True,False,u'full_bar',True,False,True,u'average',,False,u'free',True,False,True,True,False,"{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': False}","{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}",False,False,False,u'outdoor',,,,,,,,,,False,True,False,False,False,,,,True,,,False,False,False,,,,,,True
822,gI34hM-873fwF1XQ8hOaSg,Joe’s Pizza and Pasta,"5775 Godfrey Rd, Ste A",Godfrey,IL,62035,38.9491828,-90.1903059,4.0,17,1,"Salad, Pizza, Restaurants, Italian","{'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:30-21:0', 'Sunday': '11:30-20:0'}",,True,True,True,,True,True,u'beer_and_wine',True,True,,,,True,,True,,,True,,,,,,,,True,,,,,,,,,False,False,False,True,False,False,False,False,False,False,False,,,,,,False,,False,
836,MVmJuns9ZD9QLGltc0Am8g,Triple R's Smokehouse,1414 W Main St,Mascoutah,IL,62258,38.4935850144,-89.8207885399,4.5,8,0,"Restaurants, Barbeque","{'Tuesday': '11:0-20:0', 'Wednesday': '11:0-20:0', 'Thursday': '11:0-20:0', 'Friday': '11:0-20:0', 'Saturday': '11:0-20:0', 'Sunday': '11:0-18:0'}",True,True,,False,2,True,False,,,True,True,,'casual',,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
848,61oyIzeFjG977kMhMxVznw,Distler's Auto Repair,100 N Main St,O Fallon,IL,62269,38.5616342,-89.896862,4.0,5,1,"Towing, Automotive, Auto Parts & Supplies, Auto Repair","{'Monday': '8:0-17:0', 'Tuesday': '8:0-17:0', 'Wednesday': '8:0-17:0', 'Thursday': '8:0-17:0', 'Friday': '8:0-17:0'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036,CJNKR_FQ4BOiJqcTtZlkoA,Kinzels Flower Shop,723 E 5th St,Alton,IL,62002,38.8913389123,-90.173185,4.0,8,1,"Shopping, Flowers & Gifts, Florists","{'Monday': '9:0-17:0', 'Tuesday': '9:0-17:0', 'Wednesday': '9:0-17:0', 'Thursday': '9:0-17:0', 'Friday': '9:0-17:0', 'Saturday': '9:0-13:0'}",,True,,,2,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045,9Bf4mhvCmA6sv0hpwi3jDw,Quality Inn & Suites Near St. Louis And I-255,1607 Pontiac Drive,Cahokia,IL,62206,38.555865,-90.164445,3.0,14,1,"Event Planning & Services, Hotels & Travel, Hotels, Home Services, Home Cleaning","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",,True,,,2,,,,,,,,,,u'free',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145,FzelkV3vzxkRgBmVSIqALA,Edley’s,2392 S State Rt 157,Glen Carbon,IL,62034,38.7733254332,-89.9929298076,3.0,34,1,"Barbeque, Restaurants","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-21:0'}",,,,,2,True,,u'full_bar',True,True,,u'average',,,,,,,,,,,,,,,,,,,,,,,,False,False,,True,False,,,,,,,,,False,False,,,,,True
1354,24Rr4ALt3fDNROR5LEgp0g,Imo's Pizza,2704 Godfrey Rd,Godfrey,IL,62035,38.9226213,-90.1925518,2.5,22,1,"Restaurants, Pizza",,True,True,,False,2,True,True,,True,,True,u'average','casual',False,,True,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,,,,,,,False,False,False,False,False,False,False,False,False
1376,IS0B5nLJPluVT8NwGgospA,Cheddar's Scratch Kitchen,6600 N Illinois St,Fairview Heights,IL,62208,38.5965175492,-89.9841942417,2.5,187,1,"Comfort Food, American (New), American (Traditional), Restaurants, Southern","{'Monday': '11:0-16:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-22:0'}",True,True,True,False,2,False,False,u'full_bar',True,False,True,u'average',u'casual',True,u'free',True,,,True,,,,,False,,u'no',,,,,,,,,,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True
1382,YnfJv2xUF1GUNORfHAFRFg,Aiello's Pizzeria,1318 Niedringhaus Ave,Granite City,IL,62040,38.7015013,-90.1494921,4.0,12,0,"Restaurants, Pizza","{'Monday': '17:0-20:0', 'Tuesday': '17:0-20:0', 'Wednesday': '17:0-20:0', 'Thursday': '17:0-20:0', 'Friday': '17:0-22:0', 'Saturday': '13:0-22:0'}",True,True,,False,2,True,False,u'beer_and_wine',True,False,True,u'average',u'casual',False,'no',True,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,,,,,,,False,False,False,False,False,False,False,False,False
1616,G0jHNZzhiHWCYZmZWCg-6w,Downtown Diner,1400 Niedringhaus Ave,Granite City,IL,62040,38.7013636,-90.1472908,4.0,8,1,"Restaurants, Diners","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1706,-lhJzNZPffleH2FQ3-5puw,Best Bridal Prices,200 W Homer M Adams Pkwy,Godfrey,IL,62035,38.924001,-90.1909506,3.0,11,0,"Shopping, Bridal","{'Monday': '10:0-19:0', 'Tuesday': '10:0-19:0', 'Wednesday': '10:0-19:0', 'Thursday': '10:0-19:0', 'Friday': '10:0-18:0', 'Saturday': '10:0-17:0', 'Sunday': '12:0-17:0'}",,True,,,2,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,False,False,False,True,False,,,,,,,,,,,,,,,
1792,JRoY9Mx2LghIki2Uo1SOJA,The Wine Tap,223 E Main St,Belleville,IL,62220,38.5137923,-89.9805554,4.5,93,0,"Bars, Wine Bars, Nightlife, Restaurants, Italian","{'Tuesday': '15:30-22:0', 'Wednesday': '15:30-22:0', 'Thursday': '15:30-22:0', 'Friday': '15:30-0:0', 'Saturday': '15:30-0:0'}",False,True,,True,2,True,False,u'full_bar',True,False,True,u'average','casual',True,'no',True,,,,,"{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': True}","{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': None, 'video': False, 'karaoke': None}",,,,,,,,,,,,,,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False
1805,MOBvgVwvZMV8hyngcr7hfw,Shiloh Veterinary Clinic,3690 Green Mount Crossing,Shiloh,IL,62269,38.5562740854,-89.92863078,5.0,10,1,"Veterinarians, Pets","{'Monday': '8:0-18:0', 'Tuesday': '7:0-18:0', 'Thursday': '7:0-18:0', 'Friday': '8:0-17:0', 'Saturday': '8:0-12:0'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829,pMEQsY7OdNS8jlM39f58Vg,Subliminal Grilled Subs & More,141 S Main St,Waterloo,IL,62298,38.3351684,-90.1504277,4.5,7,0,"Restaurants, Salad, Soup, Sandwiches",,True,True,,True,,,True,,,,False,,'casual',,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945,bIn7Is88ra509YZhf4VLxA,Advanced Medical Weight Loss,11 Junction Dr,Glen Carbon,IL,62034,38.777262,-89.957466,4.0,6,1,"Weight Loss Centers, Beauty & Spas, Aestheticians, Health & Medical, Hair Loss Centers, Medical Spas, Hair Removal, Laser Hair Removal","{'Tuesday': '9:0-18:0', 'Wednesday': '9:0-18:0', 'Thursday': '9:0-18:0', 'Friday': '9:0-12:0', 'Saturday': '9:0-12:0'}",,True,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,q3AbKPlzrqbUh8tz26vsdQ,Wendy's,5959 Belleville Crossing St,Belleville,IL,62226,38.5293592,-90.0356064,2.0,7,1,"Restaurants, Fast Food, Burgers","{'Monday': '10:0-0:0', 'Tuesday': '10:0-0:0', 'Wednesday': '10:0-0:0', 'Thursday': '10:0-0:0', 'Friday': '10:0-0:0', 'Saturday': '10:0-0:0', 'Sunday': '10:0-0:0'}",True,True,,,1,,True,,,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2035,Jn5nZ0b-cdBS2xHnF4msug,McDonald's,7301 Westfield Plz,Belleville,IL,62223,38.544739774,-90.0519396365,1.5,12,0,"Restaurants, Fast Food, Burgers, Coffee & Tea, Food","{'Monday': '5:0-0:0', 'Tuesday': '5:0-0:0', 'Wednesday': '5:0-0:0', 'Thursday': '5:0-0:0', 'Friday': '5:0-0:0', 'Saturday': '5:0-0:0', 'Sunday': '5:0-0:0'}",True,True,,False,1,,True,,True,,,,,,u'free',True,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2071,RpWoiNTe8mCVrcMoCDa86w,My Vintage Addiction,119 E Main St,Belleville,IL,62220,38.513847,-89.981993,5.0,6,0,"Antiques, Shopping","{'Tuesday': '10:0-17:0', 'Wednesday': '10:0-17:0', 'Thursday': '10:0-17:0', 'Friday': '10:0-17:0', 'Saturday': '10:0-17:0'}",,True,,,2,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,False,True,False,False,False,,,,,,,,,,,,,,,
2083,6qYiwO5--3xPmsZjglR-Xw,The TOCO Shop,825 W Main St,Belleville,IL,62220,38.5147633,-89.9955021,4.5,10,1,"Fashion, Local Services, Community Service/Non-Profit, Shopping, Thrift Stores, Used, Vintage & Consignment","{'Monday': '10:0-16:0', 'Tuesday': '10:0-16:0', 'Wednesday': '10:0-16:0', 'Thursday': '10:0-16:0', 'Friday': '10:0-16:0', 'Saturday': '10:0-16:0', 'Sunday': '10:0-16:0'}",,True,,,1,,,,,,,,,True,'free',,,,,,,,,,,,,,,,,,,,,False,True,False,True,False,,,,,,,,,,,,,,,
2087,K96G6_BqFbm5iGTzh85-bQ,Ashley HomeStore,6609 Edwardsville Crossing,Edwardsville,IL,62025,38.7894269,-89.9562624,2.5,54,1,"Home & Garden, Mattresses, Furniture Stores, Shopping, Home Decor","{'Monday': '9:0-21:0', 'Tuesday': '10:0-21:0', 'Wednesday': '10:0-21:0', 'Thursday': '10:0-21:0', 'Friday': '10:0-21:0', 'Saturday': '10:0-22:0', 'Sunday': '12:0-20:0'}",,True,,,2,,,,,,,,,True,,,,,,False,,,,,,,,,,,,,,,,False,False,False,True,False,,,,,,,,,,,,,,,
2150,YWcH3SLyRIBHIBBgudqZLw,Taco Bell,1616 Camp Jackson Road,Cahokia,IL,62206,38.5532348,-90.1661599,1.5,8,1,"Fast Food, Restaurants, Breakfast & Brunch, Vegetarian, Mexican, Tacos","{'Monday': '10:0-22:0', 'Tuesday': '10:0-22:0', 'Wednesday': '10:0-22:0', 'Thursday': '10:0-22:0', 'Friday': '10:0-22:0', 'Saturday': '10:0-22:0', 'Sunday': '10:0-22:0'}",True,True,,False,1,,True,u'none',,,True,u'quiet',u'casual',,u'free',True,,,False,,,,,,,,True,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,
2176,i5_36USdvJ8InY-z6KCH7w,Super 8 by Wyndham Pontoon Beach IL/St. Louis MO Area,"4141 Timberlake Drive, I-270 Exit 6A-B/Highway 111",Pontoon Beach,IL,62040,38.746866,-90.073342,3.0,9,1,"Hotels & Travel, Event Planning & Services, Hotels","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",,True,,,1,,,,,,,,,,'free',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2250,bQKqeYwaHNal7JFAXzCMFg,Super Gyros,766 Carlyle Ave,Belleville,IL,62221,38.5170210269,-89.9513851956,4.5,79,1,"Fast Food, Greek, Italian, Restaurants","{'Monday': '10:0-21:0', 'Tuesday': '10:0-21:0', 'Wednesday': '10:0-21:0', 'Thursday': '10:0-21:0', 'Friday': '10:0-22:0', 'Saturday': '10:0-22:0'}",True,True,,False,1,False,True,'none',True,True,True,'average','casual',True,'no',True,,,False,,,,,,,,True,,,,,,,,,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False
2325,3bmrxhqVpB5XCg-4j6y39A,McDonald's,906 Carlyle Ave,Belleville,IL,62221,38.5175290922,-89.9490435503,1.5,19,1,"Restaurants, Coffee & Tea, Food, Burgers, Fast Food","{'Monday': '5:0-0:0', 'Tuesday': '5:0-0:0', 'Wednesday': '5:0-0:0', 'Thursday': '5:0-0:0', 'Friday': '5:0-1:0', 'Saturday': '5:0-1:0', 'Sunday': '5:0-0:0'}",True,True,,False,1,False,True,u'none',True,False,True,'average','casual',True,u'free',True,,,,,,,,,,,True,,,,,,,,,False,False,False,False,False,,,,,,,False,False,False,False,False,False,False,False,False
2402,YKpZ2Ml0NZoYZ5eb3r_Cdg,Valentine's Restaurant,205 S State St,Freeburg,IL,62243,38.4242058,-89.9087975,4.0,30,1,"Steakhouses, Salad, Restaurants, Seafood","{'Tuesday': '16:0-20:30', 'Wednesday': '16:0-20:30', 'Thursday': '16:0-20:30', 'Friday': '16:0-21:30', 'Saturday': '16:0-21:30', 'Sunday': '16:0-20:30'}",True,True,,True,2,False,False,u'full_bar',True,,True,u'average',u'casual',False,'no',True,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,,False,,True,False,False,False,False,,False,,False,False,False,True
2484,qQDtO1tkR993KT2vbxpk6A,U.s. Post Office,"10850 Lincoln Trl, Unit 20",Fairview Heights,IL,62208,38.591816,-89.9910359,3.5,6,1,"Post Offices, Public Services & Government","{'Monday': '8:30-17:0', 'Tuesday': '8:30-17:0', 'Wednesday': '8:30-17:0', 'Thursday': '8:30-17:0', 'Friday': '8:30-17:0', 'Saturday': '8:30-12:30'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2575,m0J32LZvlTFgnWZsqxUHIQ,HCI Alternatives,1014 Eastport Plaza Dr,Collinsville,IL,62234,38.6780873,-90.0164324,2.5,47,1,"Cannabis Dispensaries, Health & Medical, Cannabis Clinics, Shopping",,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,,,,,,,,,,,,,,,
2695,47PQER5Q4OVmQhVZGE5nJg,Mexico Tipico,501 S Madison St,Lebanon,IL,62254,38.5987159,-89.8081851,4.5,26,1,"Mexican, Restaurants, Salad, Soup","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-21:0'}",,True,,False,,True,False,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2759,wXxCXwl83wkwj30LVoJ-Zg,Martin Glass Company,25 Center Plz,Belleville,IL,62220,38.5042616,-89.9478425,4.5,8,1,"Contractors, Shopping, Kitchen & Bath, Building Supplies, Windshield Installation & Repair, Home & Garden, Home Decor, Plumbing, Automotive, Glass & Mirrors, Auto Glass Services, Home Services","{'Monday': '7:0-18:0', 'Tuesday': '7:0-18:0', 'Wednesday': '7:0-18:0', 'Thursday': '7:0-18:0', 'Friday': '7:0-18:0', 'Saturday': '8:0-12:0'}",,True,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2774,iipnazeY9eoANJ37l5fKwA,Post Pack & Ship,637 W Hwy 50,O'Fallon,IL,62269,38.588157,-89.923034,5.0,9,0,"Packing Services, Shipping Centers, Local Services, Home Services",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804,Xr6GAHHoy3s2qvqlgUx_ng,The Green Solution,2021 Goose Lake Rd,Sauget,IL,62206,38.5639668169,-90.1338945329,3.5,14,1,"Shopping, Health & Medical, Cannabis Clinics, Cannabis Dispensaries","{'Monday': '10:0-18:0', 'Tuesday': '10:0-18:0', 'Wednesday': '10:0-18:0', 'Thursday': '10:0-18:0', 'Friday': '10:0-18:0', 'Saturday': '10:0-18:0'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,,,,,,,,,,,,,,,
2828,1CRaUspmxoegNBUnLkBAyA,Li Chinese Reaturant,2659 N Illinois St,Swansea,IL,62226,38.5443273542,-89.9841293629,3.0,27,1,"Chinese, Restaurants","{'Monday': '10:30-22:0', 'Wednesday': '10:30-22:0', 'Thursday': '10:30-22:0', 'Friday': '10:30-22:30', 'Saturday': '10:30-22:30', 'Sunday': '11:30-22:0'}",True,True,,False,1,False,True,u'none',True,True,False,u'quiet',u'casual',True,'no',True,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2843,sveBePSaoY-hlbxs3U6fgA,U.S. Bank Branch,6701 N Illinois St,Fairview Heights,IL,62208,38.597057,-89.98674,1.5,10,1,"Financial Services, Real Estate, Home Services, Banks & Credit Unions, Mortgage Brokers, Financial Advising","{'Monday': '0:0-0:0', 'Tuesday': '9:0-17:0', 'Wednesday': '9:0-17:0', 'Thursday': '9:0-17:0', 'Friday': '9:0-17:0', 'Saturday': '9:0-12:0'}",,False,False,False,,False,False,,False,False,,,,,,False,,False,,False,,,,False,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2874,rL68WmPRYvmSjRaQUoKwkQ,Social Gastropub,2 157 Center,Edwardsville,IL,62025,38.7848922,-89.97915449999999,3.5,131,0,"Restaurants, Gastropubs, American (New)","{'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-21:0'}",False,True,,True,2,True,False,'full_bar',True,False,True,'average','casual',False,u'free',True,False,True,True,,,,,False,,,,,,,,,,,,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2890,2dxVxJOPESRqtDgPN62JcQ,Auffenberg Mazda,105 Auto Ct,O'Fallon,IL,62269,38.5931471976,-89.9595546288,3.5,15,1,"Car Dealers, Auto Repair, Auto Parts & Supplies, Automotive","{'Monday': '9:0-20:0', 'Tuesday': '9:0-20:0', 'Wednesday': '9:0-20:0', 'Thursday': '9:0-20:0', 'Friday': '9:0-20:0', 'Saturday': '8:30-18:0'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2928,yfL0PSbSPeOb5QQ5uvGjrw,Hy-Ho Cafe,20 S Belt W,Belleville,IL,62220,38.502124,-89.985367,3.0,5,0,"Cafes, Restaurants",,True,True,,,2,False,False,,,,True,,'casual',,,True,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,,,,,,,False,False,False,False,False,False,False,False,False
3007,c6xp1swmd-_P87kt3xggDA,Taco Bell,620 E. Landmarks Blvd.,Alton,IL,62002,38.888951,-90.17685,1.0,16,1,"Restaurants, Fast Food, Tex-Mex, Tacos, Mexican","{'Monday': '8:0-22:0', 'Tuesday': '8:0-22:0', 'Wednesday': '8:0-22:0', 'Thursday': '8:0-23:0', 'Friday': '8:0-23:0', 'Saturday': '8:0-23:0', 'Sunday': '8:0-22:0'}",False,True,,,1,,True,,,,False,,,,,True,,,,,,,,,,,True,,,,,,,,,False,False,False,True,False,,,,,,,False,False,False,False,False,False,False,False,False
